"","Year","Country","reservegrowth","IRgrowth","ERgrowth"
"1736","2000","South Africa",-0.00234614225,3.69384166666667e-05,-0.01843183
"1737","2001","South Africa",-0.000690755833333333,-0.0183080813333333,-0.0244111889166667
"1738","2002","South Africa",-0.00167987516666667,0.0306214814166667,0.0114340826666667
"1739","2003","South Africa",0.00711786491666667,-0.0411814231666667,0.0329026200833333
"1740","2004","South Africa",0.0605901785833333,-0.00520833333333333,0.00991865533333333
"1741","2005","South Africa",0.0291275725,-0.00555555583333333,-0.00816795258333333
"1742","2006","South Africa",0.0182762078333333,0.02161823125,-0.00782746866666667
"1743","2007","South Africa",0.0209412581666667,0.0171505154166667,0.00474336941666667
"1744","2008","South Africa",0.00280690525,0.00393884508333333,-0.0324111355833333
"1745","2009","South Africa",0.012079789,-0.0382823005833333,0.0311258205833333
"1746","2010","South Africa",0.00692699941666667,-0.0193070825833333,0.00391383358333333
"1747","2011","South Africa",0.00937860158333333,0,-0.00985453383333334
"1748","2012","South Africa",0.00280695908333333,-0.00757575783333333,-0.00662214758333333
"1749","2013","South Africa",0.00189802441666667,0,-0.0119151715
"1750","2014","South Africa",-0.00105340241666667,0.0121212123333333,-0.00516045991666667
"1751","1980","Spain",-0.00990732581818182,0.0475926286363636,-0.00382952245454545
"1752","1981","Spain",-0.00729454916666667,0.00759427458333333,-0.00560902308333333
"1753","1982","Spain",-0.0255502748333333,0.01155739725,-0.00892603466666667
"1754","1983","Spain",-0.00144612691666667,0.0199646796666667,-0.0148980965
"1755","1984","Spain",0.0388983611666667,-0.0209510684,0.0028318095
"1756","1985","Spain",-0.00395668508333333,-0.0126548986666667,-0.00861972608333333
"1757","1986","Spain",0.02367390575,0.0103783161666667,-0.00764975016666667
"1758","1987","Spain",0.0619510900833333,0.0152046960833333,0.000466013416666666
"1759","1988","Spain",0.0159483714166667,-0.00571830025,0.00279856533333333
"1760","1989","Spain",0.00981469825,0.0134425043333333,0.00125990183333333
"1761","1990","Spain",0.0179240040833333,0.00114451375,0.00110981058333333
"1762","1991","Spain",0.02122839325,-0.01315230975,-0.000269877916666666
"1763","1992","Spain",-0.0262587583333333,0.00819304666666667,-0.0101893705833333
"1764","1993","Spain",-0.00751989758333333,-0.03393081675,-0.00971508216666667
"1765","1994","Spain",0.0011210225,-0.0165567345,-0.00134699333333333
"1766","1995","Spain",-0.01435580375,0.0176786380833333,-0.00155660591666667
"1767","1996","Spain",0.0437728290833333,-0.0295131406666667,0.00108674225
"1768","1997","Spain",0.0138261873333333,-0.0223515438333333,-0.000347570166666667
"1769","1998","Spain",-0.0154166005833333,-0.0362798344166667,-0.000564858083333333
"1770","1999","Spain",-0.0404304656666667,0.00277777758333334,0
"1771","2000","Spain",-0.00517149366666667,0.03994978475,0
"1772","2001","Spain",-0.00341267291666667,-0.0299306278333333,0
"1773","2002","Spain",0.012986265,-0.0128205133333333,0
"1774","2003","Spain",-0.042271081,-0.02424242475,0
"1775","2004","Spain",-0.0351160483333333,0,0
"1776","2005","Spain",-0.019180489,0.0104166666666667,0
"1777","2006","Spain",0.00874560933333333,0.0385230519166667,0
"1778","2007","Spain",0.00337314008333333,0.0115079370833333,0
"1779","2008","Spain",0.00651386408333333,-0.03493746925,0
"1780","2009","Spain",0.0338865725833333,-0.0680555565,0
"1781","2010","Spain",0.00411031583333333,0,7.09258333333333e-05
"1782","2011","Spain",0.0469040698333333,0.006944444,-7.08655e-05
"1783","2012","Spain",0.00727207191666667,-0.0208333333333333,0
"1784","2013","Spain",-0.000149026083333334,-0.06944444525,0
"1785","2014","Spain",0.00920955058333333,-0.0888888885833333,0
"1786","1980","Sweden",-0.00090231,0.00936990118181818,0.00283584209090909
"1787","1981","Sweden",0.00765488441666666,0.0157624400833333,-0.00197103275
"1788","1982","Sweden",0.0002640075,-0.027421161,-0.0129003038333333
"1789","1983","Sweden",0.0119824109166667,0.0329128958333333,0.0029761875
"1790","1984","Sweden",-0.000203271333333332,0.00542997125,0.00584291608333333
"1791","1985","Sweden",0.0404752313333333,0.00740392008333334,-0.00546595266666667
"1792","1986","Sweden",0.01100999325,-0.0261289371666667,-0.00564449375
"1793","1987","Sweden",0.0193114609166667,0.00646089366666667,-0.003086426
"1794","1988","Sweden",0.00503680166666667,0.0163283669166667,0.00320513483333333
"1795","1989","Sweden",0.0161884345833333,0.0122668079166667,0.000220458333333333
"1796","1990","Sweden",0.057090897,0.0215362156666667,-0.00617284241666667
"1797","1991","Sweden",0.00863208425,0.00999371066666667,0.003452039
"1798","1992","Sweden",0.032732269,0.233741330833333,-0.00961538033333333
"1799","1993","Sweden",-0.0118545865,-0.0315930589166667,-0.00723069558333333
"1800","1994","Sweden",0.0178198046666667,-0.00132092366666667,0.0001803755
"1801","1995","Sweden",0.00343799033333333,0.0134690269166667,0.00795454933333333
"1802","1996","Sweden",-0.01497220275,-0.0625023565,0.000164690416666667
"1803","1997","Sweden",-0.0411692671666667,0.00508130091666667,-0.00345849991666667
"1804","1998","Sweden",0.0269542871666667,-0.0195814991666667,-0.00362319033333333
"1805","1999","Sweden",0.00694995333333333,-0.00268373883333333,0.007756137
"1806","2000","Sweden",-0.000176969833333334,0.0183760691666667,0.000150965833333333
"1807","2001","Sweden",-0.00252510641666667,-0.00459558825,-0.0113793214166667
"1808","2002","Sweden",0.0175283839166667,0.000653595,0.00849566991666667
"1809","2003","Sweden",0.0119027745833333,-0.0244047629166667,0.0001803755
"1810","2004","Sweden",0.0101073603333333,-0.02424242475,0.0001803755
"1811","2005","Sweden",-2.69293333333328e-05,-0.0208333333333333,-0.00358946841666667
"1812","2006","Sweden",0.010641772,0.061378669,0.00396825625
"1813","2007","Sweden",0.0079460415,0.0248626384166667,-0.00378788075
"1814","2008","Sweden",0.00336296633333333,-0.041692825,-0.00813491925
"1815","2009","Sweden",0.048843517,-0.125,0.0005159955
"1816","2010","Sweden",0.00021482625,0.173611111916667,0.00855263008333333
"1817","2011","Sweden",0.00314097075,0.032043652,0.000541126499999999
"1818","2012","Sweden",0.0028409655,-0.0424603186666667,0.00807179325
"1819","2013","Sweden",0.0260680599166667,-0.0208333333333333,-0.0032938095
"1820","2014","Sweden",-0.00384636608333333,-0.1666666687,-0.00360750525
"1821","1980","Switzerland",0.0154393360909091,0.0454545454545455,0.00259101490909091
"1822","1981","Switzerland",-0.00220417575,0.0652777788333333,0.01016654175
"1823","1982","Switzerland",0.00929423916666667,-0.0228535359166667,-0.00613380716666667
"1824","1983","Switzerland",9.86565833333341e-05,-0.00925925933333333,0.00639717208333333
"1825","1984","Switzerland",0.0025711565,0,-0.00190961408333333
"1826","1985","Switzerland",0.0153338425,0,-0.000619144166666667
"1827","1986","Switzerland",0.0169625609166667,0,-0.000609622
"1828","1987","Switzerland",0.0219168528333333,-0.0362103184166667,0.00141749175
"1829","1988","Switzerland",-0.00844383558333333,0.03055555625,-0.00203823891666667
"1830","1989","Switzerland",0.00514895791666667,0.0484157055833333,-0.00496073216666667
